🕘️更新时间,#genre#
2026-06-14 13:10:09,http://74.91.26.218:82/live/cctv1hd.m3u8

📺央视频道,#genre#
CCTV-1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1,http://69.30.245.50/live/cctv1.m3u8
CCTV-1,https://t.freetv.fun/live/cctv1-1.m3u8
CCTV-1,https://t.freetv.fun/live/cctv1-2.m3u8
CCTV-1,https://t.freetv.fun/live/cctv1-6.m3u8
CCTV-2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2-1.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2-2.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2-7.m3u8
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3,https://t.freetv.fun/live/cctv3-1.m3u8
CCTV-3,https://t.freetv.fun/live/cctv3-2.m3u8
CCTV-3,https://t.freetv.fun/live/cctv3-3.m3u8
CCTV-3,https://t.freetv.fun/live/cctv3-6.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-12.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-37.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-42.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-2.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-1.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-4.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-7.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-8.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-12.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-2.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-6.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-8.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-1.m3u8
CCTV-6,http://69.30.245.50/live/cctv6.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6-1.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6-5.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6-6.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6-9.m3u8
CCTV-7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7-1.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7-18.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7-3.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7-4.m3u8
CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-8,https://t.freetv.fun/live/cctv-8.m3u8
CCTV-8,https://t.freetv.fun/live/cctv-8-2.m3u8
CCTV-8,https://t.freetv.fun/live/cctv-8-3.m3u8
CCTV-8,https://t.freetv.fun/live/cctv8.m3u8
CCTV-9,https://xykt-fix.github.io/Y77.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-5.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-6.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-8.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-9.m3u8
